,Bot-Hole Lat,Bot-Hole Lon,geometry,SAP,savUni,savUniform
3249,55.70581,-119.85996000000002,POINT (-119.85996 55.70581),0.295566588640213,0.18815071676031114,0.39661766538974197
3250,55.71159,-119.85917,POINT (-119.85917 55.71159),0.29903265833854675,0.5657041209368459,0.4365934951047954
3251,55.71454,-119.85906,POINT (-119.85906 55.71454),0.3011375367641449,0.1834354483033086,0.7494312801731813
3252,55.71764,-119.85911000000002,POINT (-119.85911 55.71764),0.30394405126571655,0.9831593488686111,0.6979182274470217
3253,55.72035,-119.8591,POINT (-119.8591 55.72035),0.3053472936153412,0.34115707189078004,0.8943393872105712
3254,55.72249,-119.83556000000002,POINT (-119.83556 55.72249),0.3016543984413147,0.7706969329572676,0.1137194069495735
3255,55.72181,-119.76837,POINT (-119.76837 55.72181),0.28489169478416443,0.7060556744473083,0.483612123759533
3256,55.71018,-119.74857,POINT (-119.74857 55.71018),0.2705537676811218,0.5921175045645963,0.09373802693806665
3257,55.71017,-119.75711,POINT (-119.75711 55.71017),0.27273163199424744,0.5728295011431621,0.013372132564843153
3258,55.72084,-119.75803,POINT (-119.75803 55.72084),0.2812212109565735,0.6756997308570921,0.2867143251587707
3259,55.70881,-119.71116,POINT (-119.71116 55.70881),0.2553369402885437,0.8668315212536409,0.39031831283294116
3260,55.7105,-119.70728,POINT (-119.70728 55.7105),0.25463399291038513,0.38770262902488295,0.4138219690624524
3261,55.71381,-119.70721,POINT (-119.70721 55.71381),0.25698113441467285,0.35695579225909224,0.9081720248426423
3262,55.64743000000001,-119.88248,POINT (-119.88248 55.64743000000001),0.2438444346189499,0.8478753011751435,0.44538539859892834
3263,55.64897,-119.88239,POINT (-119.88239 55.64897),0.24577443301677704,0.010390129009045568,0.7061930337756791
3264,55.64899000000001,-119.87816,POINT (-119.87816 55.64899000000001),0.24394287168979645,0.701899733728395,0.08422445628604902
3265,55.64731999999999,-119.91328,POINT (-119.91328 55.64731999999999),0.25921618938446045,0.01466707749345697,0.6544316641559591
3266,55.63851,-119.99955,POINT (-119.99955 55.63851),0.30423209071159363,0.6523968415482422,0.866528821056073
3267,55.64729000000001,-119.99957,POINT (-119.99957 55.64729000000001),0.31327351927757263,0.7050240692843809,0.6310196401389243
3268,55.65601,-119.99873,POINT (-119.99873 55.65601),0.32176679372787476,0.32583017355226485,0.655140232545925
3269,55.66129,-119.94235,POINT (-119.94235 55.66129),0.2897210717201233,0.14244333335219317,0.476622089401717
3270,55.66283000000001,-119.94168,POINT (-119.94168 55.66283000000001),0.29133933782577515,0.36403080318033243,0.9821177914974847
3271,55.66797,-119.90122,POINT (-119.90122 55.66797),0.27488282322883606,0.8131993631350871,0.1475496422608369
3272,55.66951,-119.88827,POINT (-119.88827 55.66951),0.2709088921546936,0.9313166249929214,0.769822786239555
3273,55.66796,-119.91754,POINT (-119.91754 55.66796),0.28366050124168396,0.47448362068364625,0.8594287563272867
3274,55.66991,-119.91422,POINT (-119.91422 55.66991),0.2834746837615967,0.7236531948808624,0.25061426523831176
3275,55.66869000000001,-119.91939,POINT (-119.91939 55.66869000000001),0.285116583108902,0.9382739008209294,0.8887739969044767
3276,55.67039000000001,-119.94021,POINT (-119.94021 55.67039000000001),0.2957262098789215,0.3954809614845336,0.5745193014012312
3277,55.67599000000001,-119.94198,POINT (-119.94198 55.67599000000001),0.30185800790786743,0.16045772731911434,0.679499921673481
3278,55.67933000000001,-119.94194,POINT (-119.94194 55.67933000000001),0.3042853772640228,0.8226810839334288,0.9259830529959311
3279,55.68179,-119.99857,POINT (-119.99857 55.68179),0.3419651985168457,0.13219447715083998,0.5615439442004068
3280,55.6857,-119.99872,POINT (-119.99872 55.6857),0.3440191149711609,0.4979975481817821,0.8989763100148578
3281,55.68928,-119.99942,POINT (-119.99942 55.68928),0.34555956721305847,0.4053890689829397,0.7613861593447957
3282,55.6925,-119.99953,POINT (-119.99953 55.6925),0.34777897596359253,0.49720940995242213,0.7454707385291695
