,wellLon,wellLat,eqLon,eqLat,eqNr,mag,M0Synt,syntLoc,geometry
7106,-122.14218,56.70053000000001,-122.13648194252217,56.70120872061899,19,2.300287529784506,2821183237012.11,"56 42m 4.35139s N, 122 8m 11.335s W",POINT (552875.7708290662 6284459.714283091)
7123,-120.59268,55.73644,-120.6054472660275,55.73366131977688,14,2.3849795669337173,3779804610279.767,"55 44m 1.18075s N, 120 36m 19.6102s W",POINT (650352.4405993572 6179034.575617423)
7130,-122.57582,57.24759,-122.56974974134714,57.25106130125632,4,2.83466436494646,17864733725824.746,"57 15m 3.82068s N, 122 34m 11.0991s W",POINT (525960.4302087412 6345415.435587972)
7134,-122.85378,57.3421,-122.85515078255096,57.34279560962708,21,3.194797959752103,61972203687629.65,"57 20m 34.0642s N, 122 51m 18.5428s W",POINT (508718.2146013317 6355554.655815048)
7137,-121.99897,56.90717,-122.0013960948153,56.90807646730834,23,2.3300940629740654,3127095139043.8125,"56 54m 29.0753s N, 122 0m 5.02594s W",POINT (560811.3157242402 6307597.495482141)
7143,-122.01093,57.1077,-121.9874903190953,57.10347174999537,3,2.503685609909026,5695454869266.794,"57 6m 12.4983s N, 121 59m 14.9651s W",POINT (561335.699830771 6329359.077914094)
7152,-120.78669,56.01016,-120.81800167838642,55.9979149211196,14,3.3349062297213368,100544737494824.34,"55 59m 52.4937s N, 120 49m 4.80604s W",POINT (636081.4866376027 6207996.095719573)
7155,-122.05623,57.07607,-122.06511319132515,57.07485280050654,16,3.3013012607243133,89526558712999.22,"57 4m 29.4701s N, 122 3m 54.4075s W",POINT (556677.2891434578 6326106.3765989365)
7163,-121.59254,56.70973000000001,-121.60457582876842,56.7002115088689,5,2.503640863978262,5694574721989.327,"56 42m 0.761432s N, 121 36m 16.473s W",POINT (585446.1511343846 6284885.408045545)
7193,-120.89015,56.07701,-120.89590040393936,56.0801084228954,17,2.257405401592801,2432809496367.154,"56 4m 48.3903s N, 120 53m 45.2415s W",POINT (630945.4297559094 6216991.064280877)
7198,-118.6317,55.17489000000001,-118.6363866533895,55.17452568754316,1,3.724113658815324,385629712159490.8,"55 10m 28.2925s N, 118 38m 10.992s W",POINT (777827.5593331244 6122904.4459340675)
7210,-122.01767,56.72658000000001,-122.02052147818677,56.73388517084991,4,2.612329010158727,8288835395270.069,"56 44m 1.98662s N, 122 1m 13.8773s W",POINT (559924.1337257113 6288192.183005027)
7212,-120.55639,55.82086999999999,-120.53513503313854,55.82031583515095,11,2.8544066067964167,19125372836615.65,"55 49m 13.137s N, 120 32m 6.48612s W",POINT (654423.1713198597 6188830.141571793)
7260,-122.15969,56.93466,-122.15217078071532,56.93497903878061,20,2.4273767583318016,4375877316711.982,"56 56m 5.92454s N, 122 9m 7.81481s W",POINT (551592.8527573444 6310468.039397366)
7274,-122.01767,56.72658000000001,-122.0055839066547,56.729268444275824,33,2.326456571721621,3088053797046.784,"56 43m 45.3664s N, 122 0m 20.1021s W",POINT (560845.430168895 6287691.486686102)
7332,-121.18186,55.98371,-121.18438555479976,55.97470100874198,3,2.451931088273055,4763176036866.916,"55 58m 28.9236s N, 121 11m 3.788s W",POINT (613302.7862174227 6204751.927371298)
7350,-121.69734,57.06294000000001,-121.69010982074056,57.064313171749575,7,2.515867685990844,5940206312881.84,"57 3m 51.5274s N, 121 41m 24.3954s W",POINT (579432.9062571534 6325307.114566308)
7372,-121.89008,57.02884,-121.89533581021034,57.02241421362749,3,3.041096523076197,36445573166661.38,"57 1m 20.6912s N, 121 53m 43.2089s W",POINT (567063.9639024278 6320423.333663417)
