,FID,geometry,sim_0
13,13,"POLYGON ((65125.86896790686 6352085.416192899, 85125.86896790686 6352085.416192899, 85125.86896790686 6332085.416192899, 65125.86896790686 6332085.416192899, 65125.86896790686 6352085.416192899))",0.0
14,14,"POLYGON ((65125.86896790686 6332085.416192899, 85125.86896790686 6332085.416192899, 85125.86896790686 6312085.416192899, 65125.86896790686 6312085.416192899, 65125.86896790686 6332085.416192899))",0.0
15,15,"POLYGON ((65125.86896790686 6312085.416192899, 85125.86896790686 6312085.416192899, 85125.86896790686 6292085.416192899, 65125.86896790686 6292085.416192899, 65125.86896790686 6312085.416192899))",0.0
16,16,"POLYGON ((65125.86896790686 6292085.416192899, 85125.86896790686 6292085.416192899, 85125.86896790686 6272085.416192899, 65125.86896790686 6272085.416192899, 65125.86896790686 6292085.416192899))",0.0
17,17,"POLYGON ((65125.86896790686 6272085.416192899, 85125.86896790686 6272085.416192899, 85125.86896790686 6252085.416192899, 65125.86896790686 6252085.416192899, 65125.86896790686 6272085.416192899))",0.0
18,18,"POLYGON ((65125.86896790686 6252085.416192899, 85125.86896790686 6252085.416192899, 85125.86896790686 6232085.416192899, 65125.86896790686 6232085.416192899, 65125.86896790686 6252085.416192899))",0.0
19,19,"POLYGON ((65125.86896790686 6232085.416192899, 85125.86896790686 6232085.416192899, 85125.86896790686 6212085.416192899, 65125.86896790686 6212085.416192899, 65125.86896790686 6232085.416192899))",0.0
20,20,"POLYGON ((65125.86896790686 6212085.416192899, 85125.86896790686 6212085.416192899, 85125.86896790686 6192085.416192899, 65125.86896790686 6192085.416192899, 65125.86896790686 6212085.416192899))",0.0
21,21,"POLYGON ((65125.86896790686 6192085.416192899, 85125.86896790686 6192085.416192899, 85125.86896790686 6172085.416192899, 65125.86896790686 6172085.416192899, 65125.86896790686 6192085.416192899))",0.0
22,22,"POLYGON ((65125.86896790686 6172085.416192899, 85125.86896790686 6172085.416192899, 85125.86896790686 6152085.416192899, 65125.86896790686 6152085.416192899, 65125.86896790686 6172085.416192899))",0.0
23,23,"POLYGON ((65125.86896790686 6152085.416192899, 85125.86896790686 6152085.416192899, 85125.86896790686 6132085.416192899, 65125.86896790686 6132085.416192899, 65125.86896790686 6152085.416192899))",0.0
24,24,"POLYGON ((65125.86896790686 6132085.416192899, 85125.86896790686 6132085.416192899, 85125.86896790686 6112085.416192899, 65125.86896790686 6112085.416192899, 65125.86896790686 6132085.416192899))",0.0
25,25,"POLYGON ((65125.86896790686 6112085.416192899, 85125.86896790686 6112085.416192899, 85125.86896790686 6092085.416192899, 65125.86896790686 6092085.416192899, 65125.86896790686 6112085.416192899))",0.0
26,26,"POLYGON ((65125.86896790686 6092085.416192899, 85125.86896790686 6092085.416192899, 85125.86896790686 6072085.416192899, 65125.86896790686 6072085.416192899, 65125.86896790686 6092085.416192899))",0.0
27,27,"POLYGON ((65125.86896790686 6072085.416192899, 85125.86896790686 6072085.416192899, 85125.86896790686 6052085.416192899, 65125.86896790686 6052085.416192899, 65125.86896790686 6072085.416192899))",0.0
28,28,"POLYGON ((65125.86896790686 6052085.416192899, 85125.86896790686 6052085.416192899, 85125.86896790686 6032085.416192899, 65125.86896790686 6032085.416192899, 65125.86896790686 6052085.416192899))",0.0
29,29,"POLYGON ((65125.86896790686 6032085.416192899, 85125.86896790686 6032085.416192899, 85125.86896790686 6012085.416192899, 65125.86896790686 6012085.416192899, 65125.86896790686 6032085.416192899))",0.0
30,30,"POLYGON ((65125.86896790686 6012085.416192899, 85125.86896790686 6012085.416192899, 85125.86896790686 5992085.416192899, 65125.86896790686 5992085.416192899, 65125.86896790686 6012085.416192899))",0.0
31,31,"POLYGON ((65125.86896790686 5992085.416192899, 85125.86896790686 5992085.416192899, 85125.86896790686 5972085.416192899, 65125.86896790686 5972085.416192899, 65125.86896790686 5992085.416192899))",0.0
32,32,"POLYGON ((65125.86896790686 5972085.416192899, 85125.86896790686 5972085.416192899, 85125.86896790686 5952085.416192899, 65125.86896790686 5952085.416192899, 65125.86896790686 5972085.416192899))",0.0
33,33,"POLYGON ((65125.86896790686 5952085.416192899, 85125.86896790686 5952085.416192899, 85125.86896790686 5932085.416192899, 65125.86896790686 5932085.416192899, 65125.86896790686 5952085.416192899))",0.0
34,34,"POLYGON ((65125.86896790686 5932085.416192899, 85125.86896790686 5932085.416192899, 85125.86896790686 5912085.416192899, 65125.86896790686 5912085.416192899, 65125.86896790686 5932085.416192899))",0.0
35,35,"POLYGON ((65125.86896790686 5912085.416192899, 85125.86896790686 5912085.416192899, 85125.86896790686 5892085.416192899, 65125.86896790686 5892085.416192899, 65125.86896790686 5912085.416192899))",0.0
36,36,"POLYGON ((65125.86896790686 5892085.416192899, 85125.86896790686 5892085.416192899, 85125.86896790686 5872085.416192899, 65125.86896790686 5872085.416192899, 65125.86896790686 5892085.416192899))",0.0
37,37,"POLYGON ((65125.86896790686 5872085.416192899, 85125.86896790686 5872085.416192899, 85125.86896790686 5852085.416192899, 65125.86896790686 5852085.416192899, 65125.86896790686 5872085.416192899))",0.0
38,38,"POLYGON ((65125.86896790686 5852085.416192899, 85125.86896790686 5852085.416192899, 85125.86896790686 5832085.416192899, 65125.86896790686 5832085.416192899, 65125.86896790686 5852085.416192899))",0.0
39,39,"POLYGON ((65125.86896790686 5832085.416192899, 85125.86896790686 5832085.416192899, 85125.86896790686 5812085.416192899, 65125.86896790686 5812085.416192899, 65125.86896790686 5832085.416192899))",0.0
40,40,"POLYGON ((85125.86896790686 6612085.416192899, 105125.86896790686 6612085.416192899, 105125.86896790686 6592085.416192899, 85125.86896790686 6592085.416192899, 85125.86896790686 6612085.416192899))",0.0
41,41,"POLYGON ((85125.86896790686 6592085.416192899, 105125.86896790686 6592085.416192899, 105125.86896790686 6572085.416192899, 85125.86896790686 6572085.416192899, 85125.86896790686 6592085.416192899))",0.0
42,42,"POLYGON ((85125.86896790686 6572085.416192899, 105125.86896790686 6572085.416192899, 105125.86896790686 6552085.416192899, 85125.86896790686 6552085.416192899, 85125.86896790686 6572085.416192899))",0.0
43,43,"POLYGON ((85125.86896790686 6552085.416192899, 105125.86896790686 6552085.416192899, 105125.86896790686 6532085.416192899, 85125.86896790686 6532085.416192899, 85125.86896790686 6552085.416192899))",0.0
44,44,"POLYGON ((85125.86896790686 6532085.416192899, 105125.86896790686 6532085.416192899, 105125.86896790686 6512085.416192899, 85125.86896790686 6512085.416192899, 85125.86896790686 6532085.416192899))",0.0
45,45,"POLYGON ((85125.86896790686 6512085.416192899, 105125.86896790686 6512085.416192899, 105125.86896790686 6492085.416192899, 85125.86896790686 6492085.416192899, 85125.86896790686 6512085.416192899))",0.0
46,46,"POLYGON ((85125.86896790686 6492085.416192899, 105125.86896790686 6492085.416192899, 105125.86896790686 6472085.416192899, 85125.86896790686 6472085.416192899, 85125.86896790686 6492085.416192899))",0.0
